uid	iids
0	14776
1	20133,20527
3	20200,6577
4	19921,19928
5	16277,19997
6	1005,20201
7	1325,13002
8	20432,1833
9	7983
10	18980,14349
11	6884
12	18591,13253
13	1905
14	5408,5448
15	11405,11475
16	326,7316
17	11922,19630
18	3177,749
20	10188,10188
21	18402
22	17032
23	14044,19001
24	15151
25	20690
26	20224,7206
27	19674,20239
28	13360,15211
29	5861,3954
30	17215,9612
31	3493,5703
32	89,308
33	16130,16960
34	338
35	19151,14512
36	18901,19516
37	18214,19620
38	3922,15354
39	649
40	11914,7370
41	16679,16865
43	5575
44	12994,17233
45	19964,1994
46	12853
47	19927
48	16557,19690
49	10974,19151
50	20073
51	18497,19843
52	16079,18893
54	7198,14706
55	2576,1820
56	18143
57	14230
58	19839
59	637
60	2839,3925
61	387,1770
62	8919
63	1789,3912
64	1187
65	19993,20372
66	19462,20769
67	10839,10839
69	18482,18208
70	1135,19737
71	5381,16484
72	13123,1016
73	3949
74	317,2389
75	16676
76	20692
77	13456
78	8719
79	15769
80	19011,9004
81	53,4407
82	2725,3439
84	4479,264
85	4756,2981
86	8321,19631
87	17095
88	15899,18731
89	7462,20094
90	9165,1259
91	7702,1003
92	8144,2656
93	11353
94	17077
95	5365
96	1521,19989
98	14429,2328
99	318,20306
100	3789,19549
101	3064,6487
102	428
103	15328,20666
104	9798,557
105	20480,8315
106	16885,19917
107	17403,18910
108	19900
109	2259,2247
110	9720,1814
111	17031,17576
112	8586
113	18970,19482
114	11556,11609
115	7948,19758
116	11059,2406
117	15869,19923
118	18444,13756
119	6586
120	20195
121	16984,17221
122	19457
123	6436,20155
124	6429,6614
125	6494,14497
126	4905,6188
127	3658,5630
128	13500,2733
129	19770
132	17201,20738
133	2733,15935
134	10905
135	17869
137	19156,20241
138	3919,19590
139	20717
140	20127,19497
141	16892,18901
142	15283,18555
143	15320,520
144	16984,2507
145	14940,16215
146	9843,9843
148	14535,18813
151	5115,19324
152	19704,18381
153	12756,2843
154	20226
155	17709,17315
157	525,3369
158	11088,4954
159	1999,4471
161	19642,18679
164	8018,18882
165	19674
166	816
167	10303,10303
168	8681,20423
169	12273,12921
170	4710
172	16729,16766
173	16127,18839
174	15535,5030
175	869,6502
176	10167,10167
179	2228,20414
180	8131,8167
181	14825,17221
182	20122,19976
183	19334,14452
184	1664,375
185	14835,19752
186	5218,4992
188	1130
190	19997,20147
191	5042,4995
192	20256,8992
193	3859
194	16559,2809
196	18941,19984
197	18774
198	19456,18655
199	5255,1448
200	16559
201	20364,18994
202	4859
203	17605,17084
204	8184,6908
205	20524,19836
206	540,868
207	15856,16072
208	18132,18554
209	20087
210	6469,20117
211	14623,19857
212	19760,20509
213	4326,14257
214	3734,4518
215	17985
216	1294,3523
217	12201,16185
219	11821,20747
220	14166
221	20200,18005
222	5365,4279
223	19690,17221
224	4051
225	19778,20037
226	4357,11149
227	19403,19674
228	19402,20363
229	2051
230	177,18633
231	15398,122
232	272,13386
234	8902,12081
236	242,14236
237	2905,685
240	3423,2233
241	18234,648
242	16378,9002
243	4315,5591
244	17098,7680
245	11486
246	19072,19479
247	6084
250	9245,453
251	321,7211
252	5045,1105
254	1117,2978
255	13296,13349
256	13767,13808
258	2646,9533
259	17188
260	12963
261	14086,17967
262	19908,19958
263	16095,14948
264	19558,11548
265	371,5600
266	4820,12176
267	12318,12341
268	13106,2059
270	9377,12920
271	19700,10922
272	12249,19754
273	10214,16877
274	4427,19419
275	17196
276	19813,1935
277	5722,7805
278	14166,20182
279	6693
280	2585,3514
281	17080,13184
282	20201
283	12159
284	2128,16179
285	16526
286	14001
287	715,19066
288	18149
289	18516,19754
290	11022
291	574,2572
292	4568,20344
294	10842
295	18899
296	14799
297	6455,18252
298	1054,1066
299	2599,16366
300	18609,18522
301	11680,1072
302	1051,5820
303	17239
304	11556
305	2644,4101
306	20414
307	4506,20283
308	11623,13201
309	9532
311	13790,14270
313	14185,16031
314	18665
315	9001,9111
316	7354,16545
317	8884,2255
319	13359,15168
320	143
322	318,4889
323	12112
325	2916
327	4325
328	5644,14598
329	20195
330	20164
331	18813,17667
332	20018,3275
333	16421
334	5053
335	6201
336	2316,14181
337	15363,19933
340	8374,16971
342	12158,18436
343	17084,17817
344	13478,16329
345	18180
346	267,595
347	3376
348	18895,19053
349	19978,20505
350	14546
352	19974
353	9479,1943
354	1750,16002
355	7973,14685
356	19216,4575
357	5112,2710
358	15157
359	15616,7094
361	3888
363	3484,4516
364	7365
365	13664
366	2152,4907
367	20369
368	17378
370	4946,4931
373	20069
375	5281
376	6057,8241
377	18901
378	19472
379	3484,13380
380	8832
381	18280,18609
383	13632,18511
384	19856,17349
385	15005,4906
386	10673,17660
387	20364
388	15028
389	11604,2599
390	19590
391	16589,19255
392	3398,5427
393	1621,8752
394	8467
397	14881,18221
398	15749,19507
399	20471,20300
400	16810
401	15218,6157
402	13727,20457
403	8972,18602
404	13782,4645
405	15670,18071
407	18805
408	14148
409	15049
411	10106
412	3880,17606
413	9331,16689
414	19872
416	8569,8570
417	15306,17224
418	7906,7978
420	2044,2222
421	15181,915
422	2816,13123
424	2300
425	16346,208
427	12082,18478
428	16987
429	5587,9786
430	8126,5686
432	20086,13946
433	4844,1109
434	12100
435	16037,19872
436	10676,10676
437	1801,4320
439	19403,13322
440	8094,12549
442	19886,20509
444	20445
445	18071
446	4139
448	18810,19796
449	13647
450	19984,20105
451	19479
452	5042,12914
456	15104
457	16307,19338
458	15830
459	16545,18037
460	7574,9795
461	3330,3729
462	13961,17241
463	17835
464	7693,376
465	4240,5371
467	6342,11094
468	4983
469	10040,10040
470	14264,16107
471	1638,17836
472	1803
473	12931,19460
474	19643,20393
475	11036,3375
476	18242,13807
477	19590,15753
478	18276
479	17562,19538
480	19693,1297
481	17559,18668
482	9169
483	20086
484	20308
485	7003,16088
486	2767,3423
490	14701,14817
491	8952
492	16207
493	13775,13652
494	8836,5367
495	16278
496	7987,20308
497	13686,14696
498	9954,9954
499	20512
500	15339
501	3006
502	4057,192
503	13545,19427
504	19998,13828
505	14781
506	15935,17032
507	18630
509	20201,11267
510	8062,11463
511	13297,13295
512	8312
513	9446,12599
514	20493,4587
515	18753,18952
516	15306
517	7950
518	5033,6985
519	2157,4314
521	431,12085
522	5087
523	312,14728
524	15422,18184
525	138,1024
526	14981,925
527	17853,292
529	20536,8109
531	1343,4279
532	19960
533	20276
534	15901
535	19216,17605
536	15636,11392
537	20531,20757
538	15957,19484
539	12943,16720
540	17605,20761
541	18516,20410
542	19516
543	9313
544	18488,11755
545	16342,20509
546	511,6143
547	17745,18887
548	18499
549	18920
550	13190,12867
551	13642,16721
552	3653,7261
553	17308,19499
554	5396,16745
555	17993,13101
556	18985,19270
557	15621,18596
558	18647
559	639,6723
560	19132
561	2737,12254
562	19995
563	4685
564	13836,1142
566	3634,20201
567	16988,18789
571	144,3015
572	4076,5118
573	20074
574	14604
575	20206,20364
577	4961
578	4311,8754
579	16836,1835
580	18915,7528
582	16541
583	17172,15841
584	19630
585	18324
587	17597
589	17006,20532
590	18519
591	6759
592	3820,19479
593	2916
595	8055,20187
596	19058
597	962,11662
598	6253,15283
599	5849
600	16892,17409
601	14696,20026
602	17160
603	11764
604	15373,19674
605	19247,14940
606	11483,19976
607	2975,20192
608	4695,20111
609	12148,11184
610	9677,14126
611	776,3664
613	3922,16169
614	789,16329
615	19095,726
616	2017
617	15699,338
618	15024
619	10439
620	19615,20256
621	5082
622	9446,11112
623	13700
624	60,929
625	18107
626	20405,18470
627	9222,1104
628	12321,14061
629	4865
630	17600,16506
631	8963
632	14997,326
633	5079,9442
634	18768,20509
635	4672,4736
636	12839
638	16407
640	19132
641	1130
642	11916,8762
643	7062,1290
644	15345
645	19986,19960
646	7387
647	6074,5087
648	12920
650	17278,18331
652	18356
653	6010,19794
654	20716,20765
655	10524,11472
656	19332,19507
657	18711,2634
658	12281,13786
660	8001,8916
661	19207,20424
662	7967,20514
663	18994
664	6985,7624
665	20201,20531
666	4970,7123
667	12943,20271
668	12306
670	1187
671	14495
672	13370,17085
673	4971,471
674	15336
675	17240,17023
676	19536
677	269,6526
678	11085,4063
679	2880
680	20271
682	20257,17776
683	18252,13552
684	11764
685	14927,20526
686	19349
687	20201,20336
688	13778,17822
689	19686,20391
690	20401
691	14799,14947
692	17818,18846
693	19430,19425
694	16271,9742
695	19897,4856
696	11285,13894
697	18887,19612
699	19442,19479
700	20364,18504
701	20204
702	19078,895
703	3580
704	16854
705	5113
707	213
708	5087,11547
709	19392
710	4852
713	6275,20484
715	19674,1585
716	19375,17729
718	11007,2916
719	20093,20198
720	16741
721	19415,19660
722	3549,1750
723	5104,15269
724	7829
725	14075
726	13586,13777
727	17262,19686
728	1854,4930
729	15841
730	8626
731	2641,3923
732	5860
733	544,20125
734	498
735	6233,4626
736	19976,20455
737	7896
738	15639
739	13828,20358
741	20201,20187
742	5827
743	1739
744	11353
745	6296,8663
746	20443,20505
747	15067,5158
748	11587,15503
750	16054,13850
751	317,20351
752	19479
753	15366
754	13849
755	17378,17634
756	14280
757	17200,20172
758	13772,14435
759	17066,19268
760	2815
761	17866,19497
762	19967,8934
763	20111,20409
766	18138,19595
767	13365,4206
768	2472
770	7547
771	19377,13528
773	19545
774	18895,1190
776	16055,17032
777	16407
778	19878,336
779	19977,17928
780	16641
781	2859
782	18516,16504
783	769,3470
784	2634,20509
785	13698,3880
786	12068
787	12399
788	19786,623
789	18980,19975
790	17696,16760
791	16950
793	11464,5049
794	17183
795	20412
796	17758,16980
797	18864,19904
799	8888
800	20478,19028
801	12850
802	19368,20695
803	19595,13808
804	18156,2269
805	14748,18882
806	19484
807	13931,15084
808	5997,7912
809	8039,6106
810	1982
811	4161
812	19709,19978
813	17210
814	7331,5668
815	19591,19642
816	18916
817	20055
818	19816
819	18498,20252
821	180
822	12665,19549
823	20187,287
824	19077,20182
825	14283,16805
826	431,3328
827	14067,14832
828	4372,5429
829	20187,20414
830	4185,2957
831	631,13605
832	12370,19789
833	12875,18429
834	7690,15860
835	11375,1204
836	18447,752
837	20004
838	1200,1753
839	19927,19550
840	10695,12714
841	17135,16365
842	4201,13190
843	6302,17402
844	18980,20402
845	1241,12956
846	3284
847	14759
848	9977
849	4144
850	10324,13291
851	14695,14695
852	12318
853	10304,18921
854	20524
855	15899
856	20201,8919
857	17083,187
858	18099
860	894,20532
861	11283,14759
862	20270
863	4288
865	13148,17236
866	5209,5481
867	10154
868	11881,19290
869	16731
870	12724
871	12584,11708
872	13360,20185
873	6633,13602
874	5721,18724
875	17179
877	11975,18522
878	19893,19933
879	15235,16815
880	3711
881	18883
882	19099,20375
884	19643,2314
885	4261,2325
886	4118,11180
888	20140,17060
889	20226,3503
890	19814
891	19353,19975
892	19861,20079
893	15682,17790
895	6460
896	13380,4819
897	7439
898	19247
899	18143,6620
900	12909
901	12288,12800
902	15127,18885
903	9942
904	17820,9798
905	3946
909	4819
910	17905,20263
912	18406,594
913	13646,8025
914	18887
915	289,20064
918	1244,4138
919	11621,12196
920	19060,19148
921	9822,9822
922	18491,20117
924	19429,13266
926	14708,20226
927	16798,14696
929	8683,20729
930	20673,279
931	20364
932	3836,8246
934	7202,1666
935	13673
936	19084
937	20195,12109
938	17864,18205
939	18403
940	4372,3861
941	14091,9144
943	12526
944	19507
945	19584,20086
946	7354
947	5101,8717
949	15664,582
950	18773,19414
951	14466,174
952	18574
953	17448,8539
954	14004
955	17083
957	11551
958	13261,12281
959	7807,16689
960	951,20069
961	18049,16081
962	16266,17760
963	7839,12390
965	3647
966	19194,19223
967	20334,20389
968	20315,20357
969	17082
970	20382,12794
971	19782
972	20531,16877
973	17206,18603
974	19190,19674
975	20187,13825
976	11126
977	5791,18887
978	20117,13262
979	6537,20767
980	18226,18584
981	4412,8393
982	16054,16146
983	16446,16968
984	511,1092
985	20227,19958
987	16320,20477
989	19902
990	7439
991	15948,18986
993	3412,13214
994	20656,20668
995	13626,18258
996	15291
997	7132,7133
998	19542
999	19484
1000	17109,19534
1001	14954,19332
1002	2485,11204
1003	13885
1004	9822,19224
1006	19604,242
1007	3725,13734
1009	20214,5675
1010	19426,12107
1011	915,16936
1012	16993,17190
1013	19978,20364
1014	2305,19228
1015	17860,6743
1016	13964,13931
1017	6370,7996
1018	12976,13365
1019	20043,20327
1021	19791,20342
1022	13422
1023	608,19958
1024	2305,19190
1025	4102,19902
1026	18314,18901
1028	6499,14678
1031	20405,20465
1032	15389,8896
1034	19499,19690
1035	12969,19190
1036	9970,15137
1038	14716,13460
1039	20003,3790
1040	17880
1041	10848,19573
1042	9888,19975
1043	19507,20531
1044	10221,11575
1045	9651,14121
1046	7266
1047	20382,20016
1048	20365,13687
1049	554,1561
1050	12721,16624
1051	12034,12583
1052	19724,7107
1053	1873,19005
1054	17493,1166
1055	5218,13677
1056	19901
1057	19767
1058	15283
1060	7612,8592
1062	13908,20343
1063	18980,11680
1064	20234
1065	16025,19675
1066	20201,20192
1067	18525,16346
1068	13930,14963
1069	18589
1070	15843,17186
1072	19420
1074	20147
1075	17792,19179
1076	2800,2349
1077	20350,19909
1078	17006
1079	13508
1080	18453,3966
1081	14056,18162
1083	13280
1084	13171
1085	6142,19691
1086	20606,12910
1087	17576
1088	20358,19990
1090	18978,4735
1091	18376,20743
1094	20446,11947
1096	19216,18880
1097	14821,20764
1098	20152,16316
1099	6572,13932
1101	1873,6930
1102	8803,18177
1103	14819,15895
1104	16836,20364
1105	19678
1106	12914
1107	19946
1108	11922,3329
1109	19228
1110	1709
1111	3878,16766
1112	7354,19365
1113	3569,3809
1114	18899
1115	9592,17332
1116	20086,14253
1117	19066,4849
1118	16810,16810
1119	5856,3024
1120	20052,2968
1121	7088,2566
1122	14707,15261
1123	19530,19595
1124	18160
1126	4256,6079
1127	19693
1128	19457
1129	12914
1130	19839,20065
1131	14312,19007
1132	20052
1133	14338,17378
1134	457,2641
1135	10753,10753
1136	3613,11213
1137	17378,20393
1138	18436
1139	482
1140	487,19872
1141	4105,20411
1142	19369,19674
1143	14425
1144	6746,9383
1145	20398,20399
1146	15831,16658
1147	9484,20298
1148	17409,20509
1149	4427
1150	20391
1151	17776,18355
1154	19095
1155	20615,19241
1156	17767,20386
1157	15368
1158	19648,20773
1159	20585,15076
1160	17866,18882
1161	20004,20753
1162	19614
1163	11002
1164	20239
1165	19591,19642
1166	19590,20336
1167	19902,20255
1168	16913,7206
1169	20236,17244
1170	8138,18814
1171	19902
1172	20429,19151
1173	7353,18490
1175	19099
1176	6823,15195
1177	19962
1178	20069
1179	20226
1180	20138,20493
1181	13923,16366
1182	4297
1183	19626
1184	19417
1185	14922,17484
1186	4287
1187	12370,12815
1189	20678
1190	17035
1191	3010,11499
1192	18860,14472
1193	16492,17850
1195	20201,17552
1196	17283
1197	18138
1198	6884
1200	18856,15213
1201	20120,17591
1202	14790,14811
1203	9209,19209
1204	18588,12060
1205	16011,17221
1206	20358,20522
1207	16807
1208	20273,20503
1209	20053
1210	19966
1211	20299
1212	19454,20675
1213	20347
1214	17624,19768
1215	20257
1216	20326,20464
1217	17216
1219	17389,17498
1220	18129,18586
1221	20044
1222	18455
1224	14098
1225	16836,17925
1226	4587,16892
1227	14463,14994
1228	20524
1229	19021,16342
1230	18274,15533
1231	20485,20530
1232	19364,19614
1233	14166,18740
